faiss_idx,item_id,source,title,authors,category,text
10,book_10,book,Bodas de sangre,Federico García Lorca,Unknown,"As the play opens, the Mother speaks with her son, the groom. It is revealed that the son's father had been killed a few years ago by a family named the Felixes. The Mother reacts violently when her son attempts to ask for a knife to cut grapes in the vineyard, going into a long rant before giving him the knife. The groom leaves, after hugging his mother goodbye. The Neighbour arrives to chat with the Mother, and reveals to her that the Bride was previously involved with a man named Leonardo Fel"
11,book_11,book,The Merlin Conspiracy,Diana Wynne Jones,"Speculative fiction, Fantasy, Children's literature","In a parallel universe, Roddy (a.k.a. Arianrhod), daughter of two magicians who serve the King of Blest, has traveled with ""the King's Progress"" her entire life. The King's Progress is a mobile Court that continuously roams the Islands of Blest (our England) to contain and control the natural magic in the world. Roddy and her best friend, Grundo, uncover a sinister plot involving Grundo's mother and the new ""Merlin"" – the magical governor of Blest – to take over the throne and the magic of the u"
12,book_12,book,The Just and the Unjust,James Gould Cozzens,Novel,"The novel has a prologue of several court docket entries in the case of Commonwealth v. Stanley Howell and Robert Basso. The first entry, dated May 31, 1939, indicates that the three defendants in a case of capital murder—Robert Basso, Stanley Howell, and Roy Leming—have all been declared indigent and had attorneys appointed for them. A second, dated June 12, indicates that the trial of Basso and Howell has been severed from that of Leming, now defended by an attorney of questionable character. "
13,book_13,book,Picnic at Hanging Rock,Joan Lindsay,"Mystery, Historical novel","Picnic at Hanging Rock centers around a trip by a party of girls from Appleyard College, a fictitious upper class private boarding school, who travel to Hanging Rock in the Mount Macedon area, Victoria, for a picnic on Valentine's Day 1900. The excursion ends in tragedy when three of the girls, and later one of their teachers, mysteriously vanish while climbing the rock. No reason for their disappearance is ever given, and one of the missing girls who is later found has no memory of what has hap"
14,book_14,book,The Making of the Representative for Planet 8,Doris Lessing,"Science Fiction, Speculative fiction","Planet 8 is a small world that was colonised by the benevolent galactic empire Canopus and populated with a new species created from the stock of four different species originating on several other Canopean planets. Planet 8 has a warm temperate climate and, under Canopus's skilled guidance, the inhabitants live comfortably and at peace with themselves and their world. One day Canopus instructs them to build a huge wall, to exact Canopean specifications, right around the girth of the planet. The"
15,book_15,book,The Secret of the Swordfish,Edgar Pierre Jacobs,Unknown,"The first volume, ""Ruthless Pursuit,"" opens on the eve of a World War. Details are scarce, but the reader is told that the enemy is an Asian superpower known as ""the Yellow Empire,"" ruled by the Emperor Basam Damdu; the free world and the Yellow Empire have been locked in a cold war for the past three years. Within the first few pages of the book, the Yellow launch a worldwide aggression with modern rockets, bombers and paratroopers that quickly destroy and conquer the world's other major powers"
16,book_16,book,Busabos ng Palad,Unknown,Novel,"The plot of the novel narrates the love story of the protagonists Celso and Rita. Celso left Rita and their province to study in Manila. Rita disappeared from her province. In the meantime, Celso became a writer and coincidentally saves a prostitute from her fate by paying off her debt. The prostitute was Rita, his girlfriend. For two years, Rita became a victim of prostitution. Despite Rita’s fate and reputation, Celso remained Rita’s lover. Celso and Rita decided to live together. Rita became "
17,book_17,book,Death in the Andes,Mario Vargas Llosa,Novel,"Peruvian police investigate a death; was it the terrucos of the Maoist Shining Path, or something even more terrible?"
18,book_18,book,Fair Stood the Wind for France,H. E. Bates,"Fiction, Novel","The story concerns John Franklin, the pilot of a Wellington Bomber who badly injures his arm when he brings his plane down in Occupied France at the height of the Second World War. He and his crew make their way to an isolated farmhouse and are taken in by the family of a French farmer. Plans are made to smuggle the them back to Britain via Vichy controlled Marseilles but Franklin's conditions worsens and he remains at the farm during the hot summer weeks that follow and falls in love with the f"
19,book_19,book,Staying On,Paul Scott,Unknown,"Staying On focuses on Tusker and Lucy Smalley, who are briefly mentioned in the latter two books of the Raj Quartet, The Towers of Silence and A Division of the Spoils, and are the last British couple living in the small hill town of Pankot after Indian independence. Tusker had risen to the rank of colonel in the British Indian Army, but on his retirement had entered the world of commerce as a ‘box wallah’, and the couple had moved elsewhere in India. However, they had returned to Pankot to take"
20,book_20,book,Kenny & the Dragon,Unknown,Unknown,"Kenny Rabbit is a young bunny that lives in a village called Roundbrook and enjoys reading. He is informed from his father that a dragon has moved to the hill by his parents' farm. The dragon, Grahame, loves literature, enjoys reciting long poems over dinner, and only uses his fire-breathing abilities to torch crème brûlée through his left nostril and he is a rarity among dragons. At school, Kenny accidentally says that he saw a dragon. When the villagers hear of it, they panic. A retired knight"
21,book_21,book,"Enemies, a Love Story",Isaac Bashevis Singer,Novel,"Set in New York City in 1949, the novel follows Holocaust survivor Herman Broder. Throughout the war he survived in a hayloft, taken care of by his non-Jewish, Polish servant, Yadwiga, whom he later takes as his wife in America. Meanwhile, he has an affair with another Holocaust survivor, Masha. To Yadwiga, he poses as a traveling book-salesman despite the fact he is simply a ghost writer for a corrupt rabbi. He wanders about New York with a constant paranoia and perpetual desperation, made more"
22,book_22,book,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Patrick Robinson,Non-fiction,"At the beginning of the book, Marcus Luttrell describes his childhood and his training to prepare for the Navy SEALs with Billy Shelton. After joining the U.S. Navy and completing SEAL training, Luttrell describes his posting in Afghanistan, in the Hindu Kush mountains of the Kunar province. With him are the rest of SEAL Team 10, except Shane E. Patton, for whom Danny Dietz was substituted. Their mission, Operation Red Wings, was to stake outside a village and capture or kill a leading Taliban m"
23,book_23,book,The Land of Little Rain,Mary Hunter Austin,Unknown,"The Land of Little Rain is a collection of short stories and essays detailing the landscape and inhabitants of the American Southwest. A message of environmental conservation and a philosophy of cultural and sociopolitical regionalism loosely links the stories together. ;""The Land of Little Rain"" The opening essay describes the ""Country of Lost Borders,"" an area of land between Death Valley and the High Sierras. The image created of the land at the beginning of the story is one of almost unbeara"
24,book_24,book,The Testament,John Grisham,"Thriller, Fiction, Suspense","Troy Phelan, an eccentric elderly billionaire, commits suicide minutes after leaving his vast fortune to an illegitimate daughter, Rachel Lane, instead of his six children by three marriages. His reason is revulsion over years of fighting with, and embarrassment from, his family, as well as their greed &mdash; much of which was due to his neglect of his children and multiple affairs (both personal and business). His lawyers are now tasked with protecting Troy's wishes as well as finding the heir"
25,book_25,book,Johnny Got His Gun,Dalton Trumbo,"Fiction, Novel","Joe Bonham, a young soldier serving in World War I, awakens in a hospital bed after being caught in the blast of an exploding artillery shell. He gradually realizes that he has lost his arms, legs, and all of his face (including his eyes, ears, teeth, and tongue), but that his mind functions perfectly, leaving him a prisoner in his own body. Joe attempts suicide by suffocation, but finds that he had been given a tracheotomy which he can neither remove nor control. At first Joe wishes to die, but"
26,book_26,book,Murder in the Middle Pasture,John R. Erickson,"Mystery, Children's literature, Fiction","Hank the Cowdog finds that there has been a murder on his ranch, so he sets off to investigate. After a few adventures, Hank thinks the Coyote Brotherhood is responsible for the killing. He travels to the Coyote Brotherhood, and demands to know who the murderer is. The coyotes just laugh and hold Hank hostage, and plan to eat him by dawn; it is later revealed that the coyotes were not responsible for the murder. Hank could have easily escaped had not Chief Guts ordered Rip and Snort, two stupid "
27,book_27,book,Judas Country,Gavin Lyall,Thriller,"Roy Case, an ex-Royal Air Force military transport makes a threadbare living flying charter cargo flights around the Mediterranean in an old Beechcraft Queen Air. His dreams of having his own airplane and own charter company rapidly fading due to age and lack of money, but at least he is flying. However, conditions rapidly spiral out of control when he lands in Cyprus. Not only did his employers go bankrupt, leaving him stranded and without pay, but his plane is impounded, he is mugged by myster"
28,book_28,book,Scandal,Unknown,Unknown,"Set in Tokyo during the 1980s, it tells the story of an old Catholic writer struggling with old age and the feeling that he yet has to write his magnum opus. One day, a young woman shows up at a party attended by the main character, Suguro, mentioning loudly that he has not been visiting the ill-reputed street where she works as an artist lately. Because of his reputation as a Christian writer with high moral standards, such behaviour is seen by his publishers as very undesirable and by himself "
29,book_29,book,Little Fuzzy,H. Beam Piper,"Science Fiction, Speculative fiction, Fantasy","Jack Holloway, a sunstone miner, lives a solitary life in a wilderness area of planet Zarathustra. The planet is basically ""owned"" by the Chartered Zarathustra Corporation (under Victor Grego), which installed basic services and colonial outposts initially, and now reaps the benefits of new discoveries, such as the valuable sunstones. One day, Holloway returns to his little shack to discover a tiny humanoid, covered in golden fur. The little creature has armed itself with a chisel from his workb"
30,book_30,book,Lord Tony's Wife,Baroness Emma Orczy,"Adventure novel, Historical novel","The year is 1789 and Pierre Adet, a young French peasant, is incensed at the unfair treatment of the local peasantry, who are no more better off than slaves to the local aristo. His brother-in-law is about to be hanged for poaching two pigeons from the woods belonging to the Duc de Kernogan in Nantes and this proves the final straw. After months of planning Pierre leads a mob against the Duc against the advice of his father. Before the mob have had the chance to storm the Chateau, they come acro"
31,book_31,book,Wisdom's Daughter,H. Rider Haggard,Fantasy,"As Holly points out, the story is told from She’s perspective, and since She claims to have lived for over two thousand years, since Ancient Egypt, there is no way to compare her story with any other sources, or witnesses. She Who Must Be Obeyed says that she was Arabian, by birth; and, given the name Ayesha. Although, in the introduction, Sir H. Rider Haggard, links the name Ayesha to Mohammed's wives, and Arabic or Arabic names, (Arabic: عائشة‎, Āʾisha), stating that it should be pronounced ""A"
32,book_32,book,Julian: A Christmas Story,Robert Charles Wilson,"Fiction, Dystopia","Julian is told from the perspective of teenager Adam Hazzard, who lives in the rural town of Williams Ford, in the state of Athabaska (today a region in Canada, but in the story, a part of the greater United States) in 2172, at a time when technology has regressed to 19th century levels. The story deals with his relationship with his friend Julian Comstock (later in life called Julian Conqueror or Julian the Agnostic), an aristocratic boy of his age with radical beliefs about God, science, and e"
33,book_33,book,Millennium People,J. G. Ballard,Speculative fiction,"When a bomb explodes on a baggage carousel at Heathrow Airport, killing his ex-wife, David Markham tries to unravel the mystery surrounding her seemingly pointless death. But with unresolved questions about himself, his job, and his loving but adulterous wife, he soon finds himself immersed in the deeper waters of middle class revolution. When a protest at a cat show turns ugly and he is beaten up by angry cat lovers, then arrested and tried, Markham enlists in the cause of the rebellious Chelse"
34,book_34,book,Summer of the Monkeys,Wilson Rawls,"Children's literature, Fiction","Summer of the Monkeys takes place in the very late 19th century. It is about a fourteen-year old boy named Jay Berry Lee who wants a pony and a .22 caliber gun. In his first attempt to catch the monkeys, he sets the traps under a tree, hides them, and pins apples on the tree. This plan fails when Jimbo simply reaches high and gets the apples off the tree, and, when he is satisfied, he gives the rest of the apples to the little monkeys. For his second plan that day, Jay sets the traps, hides them"
35,book_35,book,The Squire of Low Degree,Unknown,Unknown,"It was a squyer of lowe degréThat loved the kings doughter of Hungré. After seven years of undeclared love the squire opens his heart to the princess. She replies that she loves him, but that as a mere squire he will have to prove himself by fighting his way to Jerusalem and laying his sword on the Holy Sepulchre. Only this, she believes, will be enough to convince her father that they should marry. Their conversation is overheard by the king&#39;s steward, who steals off to the king to report i"
36,book_36,book,The House with the Green Shutters,George Douglas Brown,Literary realism,"*Chapter I. On a weekday morning at eight, Gourlay's twelve carts set off together, and are watched by all in the Square. *Chapter II. Describes how Gourlay dominates the carrying business in the town, and how his rights to the local quarry (due to expire in two years) were granted to him by the Laird of Templandmuir. Introduces Toddle, the Deacon, the Provost, and Coe. *Chapter III. Introduces his 12-year-old son, John Gourlay, and describes the House with the Green Shutters. *Chapter IV. Intro"
37,book_37,book,Ten Big Ones,Janet Evanovich,"Crime Fiction, Mystery, Fiction","In this installment of Stephanie Plum's bounty hunter adventures, Stephanie has no central FTA (Failure to Appear) to capture this time around, but is being hunted herself. The novel begins with Stephanie and her sometimes-partner Lula sitting outside in their car debating about food. They accidentally witness a Gang robbery and are swept up into the underground life of Trenton, New Jersey. She's accidentally destroyed a dozen cars. She's a target for every psycho and miscreant this side of the "
38,book_38,book,The Hallo-Wiener,Dav Pilkey,Children's literature,"The story begins with Oscar, a dachshund who is half-a-dog tall and one-and-a-half dogs long, and tired of the other dogs making fun of him because of his wiener-shaped body. He is happy because it is Halloween, and he cannot wait to get a costume. At obedience school, he daydreams of Halloween. When he comes home from school his mother has a surprise for him: a hot dog bun with mustard in the middle, and Oscar is supposed to fit in the middle! He thought he would get laughed at, but wears the c"
39,book_39,book,Lest Darkness Fall,L. Sprague de Camp,"Alternate history, Science Fiction, Speculative fiction","Lest Darkness Fall is written along lines similar to those of Mark Twain's A Connecticut Yankee in King Arthur's Court. American archaeologist Martin Padway is visiting the Pantheon in Rome in 1938. A thunderstorm arrives, lightning cracks, and he finds himself transported to 6th century Rome (535). The period Padway arrives in is a rather obscure one: Italy was ruled by the Ostrogoths, who had recently overthrown the Western Roman Empire, but were (in de Camp's opinion anyway) ruling relatively"
40,book_40,book,Helena,Joaquim Maria Machado de Assis,Unknown,"The novel opens with the family of Éstacio, whose father, Conselheiro Vale, has just died. In his will, the Conselheiro has recognized a natural daughter, previously unknown to both Éstacio and his aunt Dona Úrsula, with whom he shares the family home. The daughter, Helena, arrives to a mixed reception. Estácio welcomes her warmly while his aunt shows marked hestitation over this unknown person. While Éstacio grows increasingly more fond of his half-sister, Helena in a series of events succeeds "
41,book_41,book,The Door,Magda Szabó,Novel,"A childless woman writer, Magda, hires an older housekeeper, Emerence, who behaves oddly, but eventually they develop a kind of friendship."
42,book_42,book,The Bisexual Option,Fred Klein,Psychology,The book shows bisexuals that they are not alone and discusses where people may fit on the sexual orientation continuum. It also aids in explaining who bisexuals are and why they have problems in heterosexual as well as the mainstream gay/lesbian communities.
43,book_43,book,The Butterfly Tattoo,Philip Pullman,"Mystery, Children's literature, Young adult literature","This book is split into three parts: the first deals with Chris' first meeting of Jenny, the second with his search for her, and the third with the tragic ending. The first sentence gives away the doomed nature of the book: Chris Marshall met the girl he was going to kill on a warm Oxford evening.... The seventeen year old main character, Chris, works for a lighting company in Oxford, England. While rigging up a party he inadvertently rescues a beautiful young woman in a white dress from upper c"
44,book_44,book,Kaleidoscope,Harry Turtledove,"Speculative fiction, Romance novel","The story revolves around three sisters born to a French mother and an American GI father. The father kills the mother and then commits suicide. The story features the events of each girl's life. Separated after the death of their parents, each one is raised quite differently. They are later reunited by an estranged, family friend: the lawyer who placed them in the homes where they spent their childhoods. They later find out that he is part of the reason why their father killed their mother. fr:"
45,book_45,book,Lemonade Mouth,Unknown,Young adult literature,"Five teenagers meet after all ending up in detention for different reasons. While in detention, they all play and sing along together with a jingle on the radio. They decide to form a band after discussing it. At first, they have trouble agreeing on music, but soon learn to work together and get along. The group decides to play at the Halloween Bash, but many students who are fans of Mudslide Crush, another band at the school, do not want the group to do the Bash. Ray, a member of Mudslide Crush"
46,book_46,book,The Vampire Prince,Darren Shan,"Young adult literature, Children's literature, Horror","The book carries on from when Darren Shan was falling down a roaring river in Trials of Death, and he must make his way back to Vampire Mountain, while avoiding Kurda Smahlt and his accomplices. The river, which used to carry the dead bodies of vampires away, goes right through the Vampire Mountain. He was washed down the river, emerging from it alive-a feat that nobody achieved before this- but bruised, battered, and exhausted. He was naked, cold, and barely had energy for walking, and soon col"
47,book_47,book,The Book of Illusions,Paul Auster,"Fiction, Novel","Set in the late 1980s, the story is written from the perspective of David Zimmer, a university professor who, after losing his wife and children in a plane crash, falls into a routine of depression and isolation. After seeing one of the silent comedies of Hector Mann, an actor missing since the 1920s, he decides to occupy himself by watching all of Mann's films and writing a book about them. The publishing of the book, however, triggers another series of events that draw Zimmer even deeper into "
48,book_48,book,Paddle-to-the-Sea,Holling C. Holling,Children's literature,"At Lake Nipigon, Canada, a native boy carves a wooden model of an Indian in a canoe and sets it free to travel the Great Lakes to the Atlantic ocean. The story follows the progress of the little wooden Indian on its journey through all five Great Lakes and the St. Lawrence River, finally arriving at the Atlantic Ocean. Each movement of the canoe is celebrated by a short chapter, suitable for reading aloud to a child and decorated with black-and-white sketches and at least one full-page watercolo"
49,book_49,book,The Astronauts,Stanisław Lem,"Science Fiction, Speculative fiction","The introduction describes the fall of Tunguska meteorite (1908) and subsequent expedition of Leonid Kulik. The hypothesis about the crash of a spaceship is mentioned. Fast-forward to the year 2003. Communism has won worldwide and humankind, freed from oppression and chaos, is engaged in gigantic engineering projects - irrigation of Sahara, construction of a hydro-energetic plant over the Strait of Gibraltar, and the ability to control the climate. The latest project is to thaw the Antarctic and"
50,book_50,book,Beautiful Creatures,Margaret Stohl,"Fantasy, Young adult literature, Romance novel","Beautiful Creatures is set in fictional Gatlin, South Carolina. The novel is told by protagonist Ethan Wate, who lives with his writer father and housekeeper Amma who is “more like [Ethan’s] grandmother”. The story begins on the first day of Ethan’s sophomore year when he wakes up from a recurring dream he has been having about a girl he does not know. That morning he finds a “creepy—almost hypnotic”, song called ""Sixteen Moons"" on his iPod and also notices the smell of rosemary and lemon. At sc"
51,book_51,book,Bikini Planet,David S. Garnett,"Science Fiction, Comedy","Waking in the 24th Century, Wayne claims to be John Wayne. He's appointed a GalactiCop Police Sergeant by his new employer, Colonel Travis. Unbeknownst to Norton, Travis sends Wayne as his double to Hideaway, the entertainment planet. On the nearby prison planet Arazon (colliquially known as ""Clink""), the female prisoner Kiru (a neurotic) falls into league with a band of space pirates planning to escape. The mute bodyguard Grawl decides to protect Kiru. He even kills his friend Aqa after he and "
52,book_52,book,The Separation,K. A. Applegate,"Science Fiction, Speculative fiction, Novel","On a field trip to the beach, Rachel is exploring tide pools when she loses an earring in the water. Wishing to get it back she comes across a starfish, acquires it, and morphs into it, retrieving the earring. Unfortunately, before she can demorph, a child chops her in half. Thanks to the regenerative properties of starfish, Rachel does not die; instead, in the shock of being sliced in two, both halves demorph, resulting in two Rachels - Mean Rachel and Nice Rachel. Mean Rachel is violent, aggre"
53,book_53,book,Shadows in Bronze,Lindsey Davis,"Crime Fiction, Historical fiction, Mystery","The story begins in Rome during late spring, AD 71. Marcus Didius Falco and a group of the Praetorian Guard under the captaincy of Julius Frontinus are disposing of a decomposing corpse. Secrecy is paramount because he was the victim of a discreet execution, having been guilty of treason against the Emperor. In his position as imperial agent, Falco is involved with the tidying of the conspiracy (The Silver Pigs) and the emptying of the traitor's house. Anacrites and Momus are also involved with "
54,book_54,book,The Borrowers,Mary Norton,"Children's literature, Fantasy",":Summary of the 1952 novel Fourteen-year-old Arrietty (Ah-ree-ET-eeh) Clock lives under the floorboards of a house with her parents, Pod and Homily. As Borrowers, they survive through Pod's ""borrowing"" of items from the ""human beans"" who live in the home above the floor. One day, Pod comes home shaken after borrowing a toy tea cup. After sending Arrietty to bed, Homily learns that he has been ""seen"" by one of the big people — a boy who had been sent from India to live with his great-aunt while r"
55,book_55,book,Bring Home the Revolution,Jonathan Freedland,"Politics, Non-fiction","Journalist and broadcaster Jonathan Freedland takes a meandering tour through the stubbornly varied states and regions of the United States of America meeting people of all racial and cultural persuasions and of all religious and political beliefs in his effort to build an accurate picture of modern American society and the ways in which these people can and often do affect the way politics is carried out in their country, both locally and nationally. From these encounters Freedland learns the v"
56,book_56,book,Ceremony,Robert B. Parker,Detective fiction,Spenser is hired by a successful insurance salesman to find his runaway 16 year-old daughter. He and his wife fear she has turned to prostitution.
57,book_57,book,"It's Like This, Cat",Emily Neville,Children's literature,"The main character of the story is Dave Mitchell, a 14-year-old who is growing up in mid-20th century New York City. Dave lives with his father and his asthmatic mother and her attacks worsen when Dave and his father have their frequent arguments. Dave's refuge after a clash with his father is with Kate, an elderly neighbor whose apartment is filled with the stray cats she loves. Dave adopts one of the cats, names it ""Cat"" and takes it home. ""Cat"" brings both joy and adventure into Dave's life. "
58,book_58,book,Auf der Höhe,Unknown,Unknown,"The central figure is a king whose self-confident individuality comes in conflict with his love of popular freedom. Anticipating the superman of later writers, he feels that his nature is cast in too large a mold to be confined by constitutional restraints or ethical conventions. In conflict with a majority of the elected representatives of the people over some ecclesiastical question, he dissolves the assembly in his impatience of any outer control. The same characteristics are manifesting them"
59,book_59,book,Wideacre,Philippa Gregory,Unknown,"The novel is set in the second part of the eighteenth century, during the time of the enclosure acts. Beatrice Lacey is the daughter of the Squire of Wideacre, an estate situated on the South Downs, centred around Wideacre Hall. Most of the novel is narrated in her voice. She is five years-old when her father takes her around the estate for the first time, and she falls in love with the estate. Wideacre is Beatrice's first and most enduring love. For the rest of her life, Beatrice makes one atte"
60,book_60,book,Eye in the Sky,Philip K. Dick,"Science Fiction, Speculative fiction, Novel","While on a visit to the (fictional) Belmont Bevatron, eight people become stuck in a series of subtly unreal worlds, caused by the malfunction of the particle accelerator. These are later revealed to be solipsistic manifestations, bringing the story in line with Dick's penchant for subjective realities. As well as his future discussions of theology and fears about McCarthy-era authoritarianism, the novel skewers several human foibles. Jack Hamilton, the central protagonist, is dismissed from his"
61,book_61,book,Present Laughter,Noël Coward,Unknown,"All three acts of the play are set in Garry Essendine's London flat. Daphne Stillington, a young admirer of the actor Garry Essendine, has inveigled herself into the flat and has spent the night there. Garry is still asleep, and while waiting for him to wake, Daphne encounters in turn three employees of Garry, housekeeper (Miss Erikson), valet (Fred), and secretary (Monica). None of them displays any surprise at her presence. Garry finally wakes and with practised smoothness ushers Daphne out. L"
62,book_62,book,A Darkling Plain,Philip Reeve,"Science Fiction, Children's literature, Speculative fiction","Theo Ngoni foils an attempt to murder the now Oenone Naga, General Naga's wife. Oenone suspects that the murder attempt was organized by factions in the Green Storm still loyal to the Stalker Fang. Theo is made commander of an airship that will secretly deliver Lady Naga back home to Batmunkh Gompa. While flying across the Sahara Desert it is revealed that one of Oenone's retinue is really Cynthia Twite, a secret agent for the Stalker Fang first encountered in Infernal Devices. After murdering t"
63,book_63,book,The Grapes of Wrath,John Steinbeck,Novel,"The narrative begins just after Tom Joad is paroled from McAlester prison for homicide. On his journey to his home near Sallisaw, Oklahoma, he meets former preacher Jim Casy whom he remembers from his childhood, and the two travel together. When they arrive at his childhood farm home, they find it deserted. Disconcerted and confused, he and Casy meet their old neighbor, Muley Graves, who tells them that the family has gone to stay at Uncle John Joad's home nearby. He goes on to tell them that th"
64,book_64,book,The Lost City of Faar,D.J. MacHale,"Science Fiction, Children's literature, Fantasy","Loor flumes to her home in Zadaa while Press and Bobby flume to Cloral. Most of the book takes place on the territory known as Cloral, a planet that is entirely covered by water. The inhabitants of Cloral live on giant floating barges, called habitats. The main habitat in the book is called Grallion. Grallion is responsible for growing food for Cloral. A territory called Zadaa is also visited. Pendragon goes searching for a mythical city called Faar."
65,book_65,book,Just Above My Head,James Baldwin,"Fiction, Novel","The novel tells the life story of a group of friends, from preaching in Harlem, through to experiencing 'incest, war, poverty, the civil-rights struggle, as well as wealth and love and fame—in Korea, Africa, Birmingham, New York, Paris.'"
66,book_66,book,Mary Ann in Autumn,Armistead Maupin,"Fiction, Novel","Mary Ann Singleton Carruthers flees her luxurious life in Darien, Connecticut and for San Francisco, seeking solace from old friend Michael Tolliver. Reeling from both ill health and her husband's infidelity, she asks Michael if she can stay in his guest cottage while she recuperates. Meanwhile, other former Barbary Lane residents show up in the novel: Mary Ann's adoptive daughter Shawna is seriously dating for the first time; Anna Madrigal has mostly recovered from the stroke she had in Michael"
67,book_67,book,Excalibur,Sanders Anne Laubenthal,"Speculative fiction, Fantasy","The novel is set in modern times against the background of the legendary Medieval Welsh colonization of Mobile, Alabama under the prince Madoc in the 12th century. The modern Pendragon, King Arthur's secret successor, must recover Arthur's famed sword Excalibur."
68,book_68,book,Palestine,Joe Sacco,"Comics, Comic book, Fiction","The book takes place over a two-month period in late 1991 early 1992, with occasional flashbacks to the expulsion of the Arabs, the beginning of the Intifada, the Gulf War and other events in the more immediate past. Sacco spent this time meeting with Palestinians in the West Bank and Gaza Strip and the narrative focuses on the minute details of everyday life in the occupied territories, presenting the daily struggles, humiliations and frustrations of the Palestinians. Sacco’s visit to Israel an"
